Date : 2022/09/24 (SAT)
Time : 08:20:00
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  230.00     5.80    230.00     3.70    230.00     2.70  
  231.00     5.80    231.00     3.90    231.00     2.90  
  232.00     5.90    232.00     3.90    232.00     2.80  
  233.00     5.70    233.00     3.60    233.00     2.80  
  234.00     5.60    234.00     3.70    234.00     2.80  
  235.00     5.70    235.00     3.60    235.00     3.00  
  236.00     5.80    236.00     3.60    236.00     2.70  
  237.00     5.90    237.00     4.00    237.00     2.70  
  238.00     5.90    238.00     4.00    238.00     3.00  
  239.00     5.90    239.00     4.10    239.00     2.90  
  240.00     5.90    240.00     4.10    240.00     2.90  
  241.00     5.90    241.00     3.80    241.00     2.80  
  242.00     5.90    242.00     3.80    242.00     2.70  
  243.00     5.80    243.00     4.10    243.00     2.90  
  244.00     5.40    244.00     4.20    244.00     2.80  
  245.00     5.40    245.00     3.80    245.00     2.60  
  246.00     5.40    246.00     3.90    246.00     2.70  
  247.00     5.30    247.00     3.80    247.00     2.60  
  248.00     5.70    248.00     3.80    248.00     2.70  
  249.00     5.60    249.00     3.60    249.00     2.70  
  250.00     5.60    250.00     3.60    250.00     2.80  
  251.00     5.70    251.00     3.60    251.00     2.80  
  252.00     5.50    252.00     3.60    252.00     2.80  
  253.00     5.60    253.00     3.80    253.00     3.10  
  254.00     5.50    254.00     3.90    254.00     2.90  
  255.00     5.40    255.00     3.80    255.00     2.60  
  256.00     5.30    256.00     3.80    256.00     2.60  
  257.00     5.30    257.00     3.90    257.00     2.60  
  258.00     5.30    258.00     3.90    258.00     2.60  
  259.00     5.30    259.00     3.90    259.00     2.70  
  260.00     5.30    260.00     3.90    260.00     2.60  
  261.00     5.30    261.00     3.90    261.00     2.60  
  262.00     5.50    262.00     3.80    262.00     2.70  
  263.00     5.80    263.00     3.80    263.00     2.70  
  264.00     5.80    264.00     3.80    264.00     2.70  
  265.00     5.50    265.00     3.70    265.00     2.90  
  266.00     5.80    266.00     3.70    266.00     2.80  
  267.00     5.50    267.00     3.70    267.00     2.80  
  268.00     5.60    268.00     3.80    268.00     2.80  
  269.00     5.70    269.00     3.80    269.00     2.70  
  270.00     5.80    270.00     3.70    270.00     2.70  
  271.00     5.90    271.00     4.10    271.00     3.00  
  272.00     5.90    272.00     4.00    272.00     2.80  
  273.00     5.90    273.00     3.90    273.00     2.80  
  274.00     5.90    274.00     3.90    274.00     2.80  
  275.00     5.90    275.00     3.90    275.00     2.80  
  276.00     5.90    276.00     4.00    276.00     2.80  
  277.00     5.90    277.00     4.00    277.00     2.90  
  278.00     5.90    278.00     3.80    278.00     3.00  
  279.00     5.50    279.00     3.80    279.00     2.80  
  280.00     5.40    280.00     3.80    280.00     3.00  
  281.00     5.40    281.00     3.80    281.00     3.00  
  282.00     5.80    282.00     3.80    282.00     3.00  
  283.00     5.40    283.00     3.80    283.00     2.90  
  284.00     5.60    284.00     3.90    284.00     2.90  
  285.00     5.70    285.00     3.90    285.00     2.80  
  286.00     5.60    286.00     3.90    286.00     2.80  
  287.00     5.50    287.00     3.90    287.00     2.70  
  288.00     5.40    288.00     3.90    288.00     2.70  
  289.00     5.30    289.00     4.00    289.00     2.70  
  290.00     5.30    290.00     4.00    290.00     2.70  
  291.00     5.30    291.00     4.00    291.00     2.70  
  292.00     5.30    292.00     3.90    292.00     2.80  
  293.00     5.30    293.00     3.90    293.00     2.80  
  294.00     5.30    294.00     3.80    294.00     2.80  
  295.00     5.30    295.00     3.70    295.00     2.80  
  296.00     5.30    296.00     3.80    296.00     2.90  
  297.00     5.30    297.00     3.70    297.00     2.90  
  298.00     5.60    298.00     3.70    298.00     2.90  
  299.00     5.70    299.00     3.80    299.00     2.90  
  300.00     5.70    300.00     3.90    300.00     2.80  
  301.00     5.60    301.00     3.80    301.00     2.70  
  302.00     5.60    302.00     3.90    302.00     2.70  
  303.00     5.70    303.00     3.90    303.00     2.70  
  304.00     5.80    304.00     3.90    304.00     2.70  
  305.00     5.90    305.00     3.90    305.00     2.70  
  306.00     5.90    306.00     4.00    306.00     2.70  
  307.00     5.90    307.00     4.00    307.00     2.70  
  308.00     5.90    308.00     4.00    308.00     3.00  
  309.00     5.90    309.00     3.90    309.00     2.80  
  310.00     5.90    310.00     3.70    310.00     2.80  
  311.00     5.50    311.00     3.60    311.00     2.80  
  312.00     5.70    312.00     3.80    312.00     2.80  
  313.00     5.50    313.00     3.90    313.00     2.70  
  314.00     5.40    314.00     3.90    314.00     2.70  
  315.00     5.60    315.00     4.00    315.00     2.70  
  316.00     5.60    316.00     4.00    316.00     2.70  
  317.00     5.50    317.00     3.90    317.00     2.60  
  318.00     5.60    318.00     3.90    318.00     2.70  
  319.00     5.50    319.00     3.70    319.00     2.70  
  320.00     5.50    320.00     3.80    320.00     2.80  
  321.00     5.40    321.00     3.70    321.00     2.80  
  322.00     5.30    322.00     3.70    322.00     2.80  
  323.00     5.30    323.00     3.80    323.00     2.80  
  324.00     5.30    324.00     4.00    324.00     2.70  
  325.00     5.60    325.00     3.90    325.00     2.60  
  326.00     5.60    326.00     3.90    326.00     2.60  
  327.00     5.50    327.00     3.90    327.00     2.60  
  328.00     5.70    328.00     3.90    328.00     2.70  
  329.00     5.80    329.00     3.80    329.00     2.70  
  330.00     5.90    330.00     3.60    330.00     2.80  
  331.00     5.90    331.00     3.60    331.00     2.80  
  332.00     5.90    332.00     3.60    332.00     2.80  
  333.00     5.90    333.00     3.80    333.00     2.70  
  334.00     5.70    334.00     3.90    334.00     2.70  
  335.00     5.40    335.00     3.90    335.00     2.60  
