,0,T2,T3,NIP1_M,NIP1_F,T4,T5,NIP2_M,NIP2_F,T1,T6_OF,Film_Result_X [mm],Zoom_Result_X [mm], Zoom_Result_Y [mm]
460,2,4.866666666666667,4.766666666666667,0.3333333333333333,-0.1,5.533333333333334,4.966666666666667,6.733333333333333,7.166666666666667,5.666666666666667,3.1500000000000004,0.0,0.0,0.0
461,2,4.85,4.699999999999999,0.3,-0.1,5.45,4.95,6.65,6.95,5.4,3.1750000000000003,-0.006,0.0,0.0
462,2,4.733333333333333,4.566666666666666,0.3333333333333333,-0.1,5.466666666666666,4.933333333333334,6.133333333333333,6.266666666666667,5.433333333333334,3.2,-0.011,0.0,0.0
463,2,4.9,4.5,0.3,-0.15,5.6,4.95,5.699999999999999,5.85,5.3,3.1750000000000003,-0.007,0.0,0.0
464,2,5.033333333333333,4.766666666666667,0.3666666666666667,-0.1,5.533333333333334,4.9,5.4,5.566666666666666,5.466666666666666,3.1500000000000004,0.0,0.0,0.0
465,2,4.95,4.8,0.4,-0.1,5.4,4.95,5.4,5.8,5.699999999999999,3.1,0.0,0.0,0.0
466,1,4.82,4.58,0.32,-0.16,5.56,5.0,6.0,6.659999999999999,5.9,3.1800000000000006,0.007,0.0,0.0
467,2,4.833333333333333,4.733333333333333,0.3333333333333333,-0.1,5.566666666666666,5.0,6.8,7.166666666666667,5.533333333333334,3.1833333333333336,0.008,0.0,0.0
468,2,4.9,4.699999999999999,0.3,-0.1,5.35,5.0,6.9,7.15,5.5,3.2,0.007,0.0,0.0
469,2,4.733333333333333,4.433333333333334,0.3666666666666667,-0.1,5.4,4.933333333333334,6.633333333333333,7.066666666666666,5.366666666666667,3.25,-0.005,0.0,0.0
470,2,4.65,4.6,0.3,-0.1,5.6,5.0,6.1,6.55,5.3,3.1500000000000004,-0.011,0.0,0.0
471,2,4.833333333333333,4.766666666666667,0.4333333333333333,-0.1333333333333333,5.566666666666666,5.0,5.6000000000000005,6.2,5.633333333333333,3.216666666666667,-0.006,0.0,0.0
472,2,4.9,4.699999999999999,0.3,-0.15,5.45,5.0,5.2,5.9,5.699999999999999,3.1750000000000003,0.0,0.0,0.0
473,2,4.766666666666667,4.6,0.3333333333333333,-0.1,5.433333333333334,5.0,5.266666666666667,5.9,5.900000000000001,3.216666666666667,0.004,0.0,0.0
474,2,4.7,4.6,0.35,-0.1,5.6,5.0,5.65,6.5,5.85,3.2,0.009,0.0,0.0
475,1,4.82,4.7,0.32,-0.08,5.5200000000000005,4.98,6.359999999999999,7.159999999999999,5.48,3.2,0.01,0.0,0.0
476,2,4.833333333333333,4.566666666666666,0.3,-0.1,5.433333333333334,5.0,6.566666666666666,7.266666666666667,5.333333333333333,3.2000000000000006,0.009,0.0,0.0
477,2,5.0,4.6,0.3,-0.1,5.6,5.0,6.35,6.9,5.6,3.1500000000000004,0.0,0.0,0.0
478,2,4.8,4.7,0.3666666666666667,-0.1333333333333333,5.599999999999999,4.933333333333334,5.933333333333334,6.366666666666667,5.633333333333333,3.1500000000000004,0.004,0.0,0.0
479,2,4.75,4.8,0.35,-0.1,5.45,5.0,5.449999999999999,6.0,5.8,3.25,0.006,0.0,0.0
480,2,4.7,4.633333333333333,0.3666666666666667,-0.1333333333333333,5.433333333333334,4.966666666666667,5.133333333333333,5.666666666666667,5.8,3.233333333333333,0.0,0.0,0.0
481,2,4.699999999999999,4.55,0.35,-0.1,5.55,4.9,5.35,5.9,5.65,3.225,0.0,0.0,0.0
482,1,4.82,4.68,0.3,-0.1,5.54,5.0,5.86,6.5200000000000005,5.48,3.1900000000000004,0.0,0.0,0.0
483,2,4.666666666666667,4.666666666666667,0.3,-0.0666666666666666,5.466666666666666,4.966666666666667,6.733333333333333,7.233333333333333,5.366666666666667,3.233333333333333,0.0,0.0,0.0
484,2,4.55,4.55,0.3,-0.1,5.55,5.0,6.8,7.15,5.65,3.25,0.028,0.0,0.0
485,2,4.733333333333333,4.766666666666667,0.3666666666666667,-0.1333333333333333,5.599999999999999,4.966666666666667,6.4,7.0,5.733333333333333,3.1666666666666665,-0.005,0.0,0.0
486,2,4.85,4.8,0.3,-0.15,5.5,5.0,5.9,6.65,5.85,3.2,0.0,0.0,0.0
487,2,4.833333333333333,4.666666666666667,0.3666666666666667,-0.1666666666666666,5.400000000000001,5.0,5.4,6.133333333333333,5.733333333333333,3.216666666666667,0.011,0.0,0.0
488,2,4.7,4.449999999999999,0.3,-0.15,5.55,4.9,5.199999999999999,6.0,5.550000000000001,3.175,0.0,0.0,0.0
489,1,4.62,4.68,0.32,-0.14,5.58,4.96,5.38,6.0600000000000005,5.44,3.1800000000000006,0.0,0.0,0.0
490,2,4.733333333333333,4.666666666666667,0.3666666666666667,-0.1333333333333333,5.400000000000001,5.0,6.2,7.1000000000000005,5.666666666666667,3.2000000000000006,0.0,0.0,0.0
491,2,4.85,4.6,0.4,-0.2,5.55,5.0,6.65,7.45,5.65,3.225,0.01,0.0,0.0
492,2,4.666666666666667,4.6,0.3333333333333333,-0.0666666666666666,5.599999999999999,4.966666666666667,6.666666666666667,7.2,5.766666666666667,3.1833333333333336,0.004,0.0,0.0
493,2,4.6,4.8,0.3,-0.05,5.45,4.95,6.5,6.9,5.9,3.2,-0.009,0.0,0.0
494,2,4.7,4.666666666666667,0.3666666666666667,-0.1333333333333333,5.333333333333333,4.966666666666667,6.1000000000000005,6.366666666666667,5.733333333333333,3.2000000000000006,-0.01,0.0,0.0
495,2,4.65,4.449999999999999,0.3,-0.1,5.45,4.95,5.6,5.9,5.55,3.2,0.004,0.0,0.0
496,1,4.82,4.659999999999999,0.36,-0.1,5.54,4.96,5.36,5.64,5.4,3.21,0.006,0.0,0.0
497,2,4.733333333333333,4.7,0.3333333333333333,-0.1,5.433333333333334,4.9,5.766666666666667,6.566666666666666,5.633333333333333,3.2000000000000006,0.0,0.0,0.0
498,2,4.7,4.55,0.3,-0.15,5.6,4.95,6.2,7.2,5.65,3.2,-0.014,0.0,0.0
499,2,4.666666666666667,4.566666666666666,0.3333333333333333,-0.1333333333333333,5.566666666666666,4.933333333333334,6.466666666666666,7.533333333333334,5.900000000000001,3.1666666666666665,0.003,0.0,0.0
500,2,4.65,4.699999999999999,0.35,-0.1,5.55,5.0,6.55,7.25,5.9,3.175,0.005,0.0,0.0
501,2,4.733333333333333,4.733333333333333,0.2666666666666666,-0.1333333333333333,5.400000000000001,5.0,6.466666666666666,6.866666666666667,5.633333333333333,3.2000000000000006,-0.005,0.0,0.0
502,2,4.75,4.6,0.35,-0.1,5.45,4.95,5.95,6.199999999999999,5.5,3.25,-0.007,0.0,0.0
503,2,4.8,4.566666666666666,0.3,-0.1333333333333333,5.533333333333334,5.0,5.633333333333333,5.866666666666667,5.333333333333333,3.1666666666666665,0.0,0.0,0.0
504,2,4.65,4.699999999999999,0.3,-0.1,5.5,4.95,5.449999999999999,5.65,5.75,3.175,0.013,0.0,0.0
505,1,4.64,4.6,0.32,-0.1,5.46,4.96,1.3,1.2799999999999998,5.720000000000001,3.2,0.008,0.0,0.0
506,2,4.766666666666667,4.566666666666666,0.3666666666666667,-0.1333333333333333,5.566666666666666,5.0,0.3666666666666667,0.3999999999999999,5.900000000000001,3.1666666666666665,-0.007,0.0,0.0
507,2,4.85,4.8,0.35,-0.1,5.6,4.95,0.35,0.3,5.6,3.2,0.006,0.0,0.0
508,2,4.7,4.733333333333333,0.3,-0.1,5.433333333333334,5.0,0.3,0.2333333333333333,5.533333333333334,3.1500000000000004,-0.004,0.0,0.0
509,2,4.6,4.6,0.4,-0.1,5.4,4.95,0.4,0.4,5.3,3.2,-0.011,0.0,0.0
510,2,4.7,4.6,0.4000000000000001,-0.1666666666666666,5.433333333333334,4.966666666666667,0.3333333333333333,0.3,5.366666666666667,3.1666666666666665,0.0,0.0,0.0
511,2,4.8,4.8,0.35,-0.15,5.6,5.0,0.4,0.35,5.65,3.225,-0.009,0.0,0.0
512,1,4.74,4.62,0.32,-0.1,5.4,4.98,0.3399999999999999,0.32,5.8,3.1700000000000004,0.0,0.0,0.0
513,2,4.766666666666667,4.433333333333334,0.3333333333333333,-0.1666666666666666,5.433333333333334,4.966666666666667,0.3,0.3666666666666667,5.766666666666667,3.1666666666666665,0.0,0.0,0.0
514,2,4.7,4.6,0.4,-0.1,5.6,5.0,0.35,0.4,5.550000000000001,3.1500000000000004,-0.019,0.0,0.0
515,2,4.7,4.7,0.3666666666666667,-0.1,5.4,5.0,0.3666666666666667,0.3666666666666667,5.433333333333334,3.1500000000000004,0.0,0.0,0.0
516,2,4.699999999999999,4.449999999999999,0.4,-0.15,5.3,5.05,0.35,0.35,5.3,3.2,-0.015,0.0,0.0
517,2,4.833333333333333,4.366666666666667,0.3,-0.1666666666666666,5.3,4.966666666666667,0.5333333333333333,0.2666666666666666,5.566666666666666,3.216666666666667,-0.017,0.0,0.0
518,2,4.75,4.6,0.35,-0.1,5.55,5.0,1.2,0.2,5.6,3.1750000000000003,0.0,0.0,0.0
519,1,4.7,4.659999999999999,0.36,-0.14,5.36,4.98,1.6,0.26,5.840000000000001,3.21,0.023,0.0,0.0
520,2,4.766666666666667,4.366666666666667,0.3666666666666667,-0.1666666666666666,5.366666666666667,5.066666666666666,0.7999999999999999,0.3333333333333333,5.733333333333333,3.1666666666666665,0.006,0.0,0.0
521,2,4.75,4.5,0.4,-0.05,5.55,5.0,0.55,0.25,5.45,3.1,0.01,0.0,0.0
522,2,4.633333333333333,4.6,0.3333333333333333,-0.1666666666666666,5.433333333333334,5.0,0.4666666666666666,0.3,5.3,3.1500000000000004,-0.008,0.0,0.0
523,2,4.65,4.6,0.3,-0.1,5.25,5.1,0.4,0.3,5.3,3.125,0.016,0.0,0.0
524,2,4.766666666666667,4.4,0.3,-0.1,5.366666666666667,5.033333333333333,0.3666666666666667,0.3,5.7,3.2000000000000006,-0.011,0.0,0.0
525,2,4.699999999999999,4.3,0.4,-0.1,5.5,5.05,0.35,0.35,5.699999999999999,3.1750000000000003,0.003,0.0,0.0
526,1,4.720000000000001,4.58,0.3,-0.12,5.34,5.08,0.3399999999999999,0.38,5.779999999999999,3.15,0.0,0.0,0.0
527,2,4.633333333333333,4.4,0.4000000000000001,-0.1333333333333333,5.333333333333333,5.066666666666666,0.3,0.2333333333333333,5.599999999999999,3.1666666666666665,0.006,0.0,0.0
528,2,4.800000000000001,4.449999999999999,0.35,-0.1,5.5,5.05,0.35,0.4,5.35,3.125,0.0,0.0,0.0
529,2,4.7,4.6,0.3333333333333333,-0.1,5.400000000000001,5.066666666666666,0.3,0.3999999999999999,5.333333333333333,3.1833333333333336,0.008,0.0,0.0
530,2,4.6,4.6,0.3,-0.1,5.25,5.05,0.3,0.3,5.550000000000001,3.1500000000000004,0.005,0.0,0.0
531,2,4.666666666666667,4.366666666666667,0.4000000000000001,-0.0666666666666666,5.333333333333333,5.066666666666666,0.3666666666666667,0.3999999999999999,5.666666666666667,3.2000000000000006,-0.007,0.0,0.0
532,2,4.7,4.35,0.3,-0.1,5.5,5.05,0.3,0.25,5.9,3.125,-0.008,0.0,0.0
533,2,4.733333333333333,4.666666666666667,0.3,-0.1,5.566666666666666,5.033333333333333,0.3999999999999999,0.3,5.900000000000001,3.1833333333333336,0.0,0.0,0.0
534,2,4.65,4.8,0.3,-0.15,5.25,5.05,0.4,0.35,5.6,3.1750000000000003,-0.004,0.0,0.0
