Date : 2022/09/08 (THU)
Time : 10:05:08
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  231.00 -0.16991    231.00  0.00000  
  232.00 -0.16559    232.00  0.00000  
  233.00 -0.42247    233.00  0.00000  
  234.00 -0.31933    234.00  0.00000  
  235.00 -0.26070    235.00  0.00000  
  236.00 -0.24126    236.00  0.00000  
  237.00 -0.20795    237.00  0.00000  
  238.00 -0.20253    238.00  0.00000  
  239.00 -0.19392    239.00  0.00000  
  240.00 -0.18558    240.00  0.00000  
  241.00 -0.17435    241.00  0.00000  
  242.00 -0.17409    242.00  0.00000  
  243.00 -0.17007    243.00  0.00000  
  244.00 -0.17626    244.00  0.00000  
  245.00 -0.16263    245.00  0.00000  
  246.00 -0.16865    246.00  0.00000  
  247.00 -0.17261    247.00  0.00000  
  248.00 -0.17667    248.00  0.00000  
  249.00 -0.16905    249.00  0.00000  
  250.00 -0.17762    250.00  0.00000  
  251.00 -0.17264    251.00  0.00000  
  252.00 -0.17103    252.00  0.00000  
  253.00 -0.16100    253.00  0.00000  
  254.00 -0.17449    254.00  0.00000  
  255.00 -0.17978    255.00  0.00000  
  256.00 -0.16470    256.00  0.00000  
  257.00 -0.17959    257.00  0.00000  
  258.00 -0.18755    258.00  0.00000  
  259.00 -0.17666    259.00  0.00000  
  260.00 -0.17837    260.00  0.00000  
  261.00 -0.16937    261.00  0.00000  
  262.00 -0.17548    262.00  0.00000  
  263.00 -0.17185    263.00  0.00000  
  264.00 -0.16694    264.00  0.00000  
  265.00 -0.16766    265.00  0.00000  
  266.00 -0.17523    266.00  0.00000  
  267.00 -0.17205    267.00  0.00000  
  268.00 -0.17781    268.00  0.00000  
  269.00 -0.16797    269.00  0.00000  
  270.00 -0.18273    270.00  0.00000  
  271.00 -0.18872    271.00  0.00000  
  272.00 -0.16920    272.00  0.00000  
  273.00 -0.17440    273.00  0.00000  
  274.00 -0.18767    274.00  0.00000  
  275.00 -0.17919    275.00  0.00000  
  276.00 -0.18090    276.00  0.00000  
  277.00 -0.17123    277.00  0.00000  
  278.00 -0.48223    278.00  0.00000  
  279.00 -0.45075    279.00  0.00000  
  280.00 -0.36913    280.00  0.00000  
  281.00 -0.30199    281.00  0.00000  
  282.00 -0.26792    282.00  0.00000  
  283.00 -0.22463    283.00  0.00000  
  284.00 -0.21552    284.00  0.00000  
  285.00 -0.19260    285.00  0.00000  
  286.00 -0.19146    286.00  0.00000  
  287.00 -0.19443    287.00  0.00000  
  288.00 -0.18654    288.00  0.00000  
  289.00 -0.17397    289.00  0.00000  
  290.00 -0.17175    290.00  0.00000  
  291.00 -0.16684    291.00  0.00000  
  292.00 -0.16978    292.00  0.00000  
  293.00 -0.15477    293.00  0.00000  
  294.00 -0.17108    294.00  0.00000  
  295.00 -0.18388    295.00  0.00000  
  296.00 -0.17936    296.00  0.00000  
  297.00 -0.16841    297.00  0.00000  
  298.00 -0.17199    298.00  0.00000  
  299.00 -0.15516    299.00  0.00000  
  300.00 -0.16931    300.00  0.00000  
  301.00 -0.15936    301.00  0.00000  
  302.00 -0.16975    302.00  0.00000  
  303.00 -0.16791    303.00  0.00000  
  304.00 -0.16764    304.00  0.00000  
  305.00 -0.16407    305.00  0.00000  
  306.00 -0.17235    306.00  0.00000  
  307.00 -0.15979    307.00  0.00000  
  308.00 -0.16072    308.00  0.00000  
  309.00 -0.16281    309.00  0.00000  
  310.00 -0.17878    310.00  0.00000  
  311.00 -0.17640    311.00  0.00000  
  312.00 -0.16146    312.00  0.00000  
  313.00 -0.16087    313.00  0.00000  
  314.00 -0.16882    314.00  0.00000  
  315.00 -0.15813    315.00  0.00000  
  316.00 -0.16917    316.00  0.00000  
  317.00 -0.16118    317.00  0.00000  
  318.00 -0.17165    318.00  0.00000  
  319.00 -0.17014    319.00  0.00000  
  320.00 -0.17212    320.00  0.00000  
  321.00 -0.16935    321.00  0.00000  
  322.00 -0.17341    322.00  0.00000  
  323.00 -0.16951    323.00  0.00000  
  324.00 -0.17344    324.00  0.00000  
  325.00 -0.15364    325.00  0.00000  
  326.00 -0.16782    326.00  0.00000  
  327.00 -0.17117    327.00  0.00000  
  328.00 -0.16337    328.00  0.00000  
  329.00 -0.15853    329.00  0.00000  
  330.00 -0.17425    330.00  0.00000  
  331.00 -0.16979    331.00  0.00000  
  332.00 -0.17071    332.00  0.00000  
  333.00 -0.15525    333.00  0.00000  
  334.00 -0.16513    334.00  0.00000  
