Date : 2022/09/08 (THU)
Time : 10:05:04
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  277.00  0.01122    277.00  0.00000  
  278.00  0.02067    278.00  0.00000  
  279.00  0.00872    279.00  0.00000  
  280.00  0.00513    280.00  0.00000  
  281.00  0.00000    281.00  0.00000  
  282.00 -0.00358    282.00  0.00000  
  283.00 -0.01298    283.00  0.00000  
  284.00 -0.01402    284.00  0.00000  
  285.00  0.01022    285.00  0.00000  
  286.00  0.02020    286.00  0.00000  
  287.00  0.00000    287.00  0.00000  
  288.00  0.00000    288.00  0.00000  
  289.00  0.00000    289.00  0.00000  
  290.00 -0.00305    290.00  0.00000  
  291.00 -0.00697    291.00  0.00000  
  292.00 -0.00408    292.00  0.00000  
  293.00  0.01187    293.00  0.00000  
  294.00  0.01501    294.00  0.00000  
  295.00  0.00973    295.00  0.00000  
  296.00  0.00325    296.00  0.00000  
  297.00  0.00000    297.00  0.00000  
  298.00 -0.00422    298.00  0.00000  
  299.00 -0.01420    299.00  0.00000  
  300.00 -0.00983    300.00  0.00000  
  301.00  0.00789    301.00  0.00000  
  302.00  0.01649    302.00  0.00000  
  303.00  0.00660    303.00  0.00000  
  304.00  0.00000    304.00  0.00000  
  305.00  0.00000    305.00  0.00000  
  306.00  0.00000    306.00  0.00000  
  307.00 -0.00780    307.00  0.00000  
  308.00 -0.00995    308.00  0.00000  
  309.00  0.01232    309.00  0.00000  
  310.00  0.01525    310.00  0.00000  
  311.00  0.00504    311.00  0.00000  
  312.00 -0.00548    312.00  0.00000  
  313.00 -0.01529    313.00  0.00000  
  314.00 -0.00967    314.00  0.00000  
  315.00 -0.00749    315.00  0.00000  
  316.00 -0.00546    316.00  0.00000  
  317.00  0.01043    317.00  0.00000  
  318.00  0.02071    318.00  0.00000  
  319.00  0.01090    319.00  0.00000  
  320.00  0.00000    320.00  0.00000  
  321.00  0.00000    321.00  0.00000  
  322.00  0.00000    322.00  0.00000  
  323.00  0.00000    323.00  0.00000  
  324.00  0.00000    324.00  0.00000  
  325.00  0.00745    325.00  0.00000  
  326.00  0.01078    326.00  0.00000  
  327.00  0.00318    327.00  0.00000  
  328.00  0.00405    328.00  0.00000  
  329.00  0.00536    329.00  0.00000  
  330.00  0.00000    330.00  0.00000  
  331.00 -0.00499    331.00  0.00000  
  332.00 -0.00608    332.00  0.00000  
  333.00  0.00922    333.00  0.00000  
  334.00  0.01178    334.00  0.00000  
  335.00  0.00000    335.00  0.00000  
  336.00 -0.01015    336.00  0.00000  
  337.00 -0.01665    337.00  0.00000  
  338.00 -0.00670    338.00  0.00000  
  339.00 -0.00811    339.00  0.00000  
  340.00 -0.01221    340.00  0.00000  
  341.00  0.00000    341.00  0.00000  
  342.00  0.00000    342.00  0.00000  
  343.00  0.00000    343.00  0.00000  
  344.00 -0.00469    344.00  0.00000  
  345.00 -0.00357    345.00  0.00000  
  346.00 -0.00843    346.00  0.00000  
