Date : 2022/09/08 (THU)
Time : 10:05:18
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  363.00     5.50    363.00     4.10    363.00     2.90  
  364.00     5.40    364.00     4.10    364.00     2.80  
  365.00     5.40    365.00     4.10    365.00     2.80  
  366.00     5.40    366.00     4.10    366.00     2.90  
  367.00     5.30    367.00     4.10    367.00     2.90  
  368.00     5.30    368.00     4.10    368.00     2.90  
  369.00     5.30    369.00     4.10    369.00     2.90  
  370.00     5.90    370.00     3.90    370.00     3.00  
  371.00     5.50    371.00     4.00    371.00     3.00  
  372.00     5.40    372.00     3.90    372.00     3.00  
  373.00     5.40    373.00     4.10    373.00     2.90  
  374.00     5.40    374.00     4.10    374.00     3.00  
  375.00     5.40    375.00     4.10    375.00     2.80  
  376.00     5.40    376.00     4.10    376.00     2.90  
  377.00     5.70    377.00     4.10    377.00     3.00  
  378.00     5.70    378.00     4.00    378.00     2.90  
  379.00     5.80    379.00     4.10    379.00     3.00  
  380.00     5.90    380.00     4.00    380.00     3.10  
  381.00     6.00    381.00     4.00    381.00     3.10  
  382.00     6.00    382.00     4.10    382.00     3.00  
  383.00     5.90    383.00     4.20    383.00     2.90  
  384.00     5.90    384.00     4.20    384.00     2.90  
  385.00     5.90    385.00     4.20    385.00     2.90  
  386.00     5.90    386.00     4.10    386.00     2.90  
  387.00     5.90    387.00     4.10    387.00     2.90  
  388.00     5.90    388.00     4.10    388.00     3.00  
  389.00     5.90    389.00     4.10    389.00     3.00  
  390.00     5.90    390.00     4.10    390.00     3.10  
  391.00     5.90    391.00     3.90    391.00     3.10  
  392.00     5.60    392.00     4.00    392.00     3.10  
  393.00     5.80    393.00     4.10    393.00     3.00  
  394.00     5.70    394.00     4.20    394.00     3.00  
  395.00     5.60    395.00     4.20    395.00     2.90  
  396.00     5.50    396.00     4.20    396.00     2.90  
  397.00     5.50    397.00     4.10    397.00     2.90  
  398.00     5.50    398.00     4.10    398.00     2.90  
  399.00     5.50    399.00     4.10    399.00     3.00  
  400.00     5.50    400.00     4.10    400.00     3.10  
  401.00     5.50    401.00     4.10    401.00     3.10  
  402.00     5.40    402.00     4.10    402.00     3.10  
  403.00     5.40    403.00     4.00    403.00     3.00  
  404.00     5.40    404.00     4.20    404.00     3.00  
  405.00     5.40    405.00     4.20    405.00     2.90  
  406.00     5.40    406.00     4.10    406.00     2.90  
  407.00     5.40    407.00     4.10    407.00     2.80  
  408.00     5.40    408.00     4.10    408.00     3.00  
  409.00     5.40    409.00     4.10    409.00     3.10  
  410.00     5.40    410.00     4.10    410.00     3.10  
  411.00     5.40    411.00     4.10    411.00     3.10  
  412.00     5.50    412.00     4.00    412.00     3.10  
  413.00     5.70    413.00     4.10    413.00     3.10  
  414.00     5.80    414.00     4.20    414.00     3.00  
  415.00     5.80    415.00     4.20    415.00     3.00  
  416.00     5.90    416.00     4.20    416.00     2.90  
  417.00     5.90    417.00     4.10    417.00     2.90  
  418.00     5.90    418.00     4.10    418.00     2.90  
  419.00     6.00    419.00     4.10    419.00     3.00  
  420.00     6.00    420.00     4.10    420.00     3.10  
  421.00     6.00    421.00     4.10    421.00     3.10  
  422.00     5.90    422.00     3.90    422.00     3.20  
  423.00     5.90    423.00     4.10    423.00     3.10  
  424.00     5.90    424.00     4.20    424.00     3.00  
  425.00     5.90    425.00     4.20    425.00     2.90  
  426.00     5.70    426.00     4.20    426.00     2.90  
  427.00     5.80    427.00     4.20    427.00     2.90  
  428.00     5.80    428.00     4.10    428.00     2.90  
  429.00     5.60    429.00     4.10    429.00     3.00  
  430.00     5.80    430.00     4.20    430.00     3.00  
  431.00     5.90    431.00     4.10    431.00     3.10  
  432.00     5.90    432.00     4.00    432.00     3.10  
  433.00     5.90    433.00     4.10    433.00     3.10  
  434.00     5.80    434.00     4.10    434.00     3.10  
  435.00     5.60    435.00     4.20    435.00     2.90  
  436.00     5.50    436.00     4.10    436.00     2.90  
  437.00     5.50    437.00     4.20    437.00     3.00  
  438.00     5.40    438.00     4.10    438.00     3.00  
  439.00     5.50    439.00     4.10    439.00     3.00  
  440.00     5.40    440.00     4.20    440.00     3.00  
  441.00     5.40    441.00     4.10    441.00     3.10  
  442.00     5.40    442.00     4.00    442.00     3.10  
  443.00     5.40    443.00     4.10    443.00     3.10  
  444.00     5.40    444.00     4.20    444.00     3.10  
  445.00     5.40    445.00     4.20    445.00     2.90  
  446.00     5.40    446.00     4.20    446.00     2.90  
  447.00     5.40    447.00     4.20    447.00     2.90  
  448.00     5.40    448.00     4.20    448.00     3.00  
  449.00     5.50    449.00     4.10    449.00     3.00  
  450.00     5.60    450.00     4.10    450.00     3.10  
  451.00     5.70    451.00     4.10    451.00     3.10  
  452.00     5.80    452.00     4.00    452.00     3.20  
  453.00     5.90    453.00     3.90    453.00     3.10  
  454.00     5.90    454.00     4.10    454.00     3.10  
  455.00     6.00    455.00     4.20    455.00     3.10  
  456.00     5.90    456.00     4.20    456.00     2.90  
  457.00     5.90    457.00     4.20    457.00     2.90  
  458.00     5.90    458.00     4.20    458.00     2.90  
  459.00     5.90    459.00     4.10    459.00     3.10  
  460.00     5.90    460.00     4.20    460.00     3.10  
  461.00     5.70    461.00     4.10    461.00     3.10  
  462.00     5.60    462.00     4.10    462.00     3.10  
  463.00     5.90    463.00     4.10    463.00     3.10  
  464.00     5.60    464.00     4.10    464.00     3.10  
  465.00     5.80    465.00     4.20    465.00     3.00  
  466.00     5.80    466.00     4.20    466.00     3.00  
  467.00     5.40    467.00     4.20    467.00     2.90  
  468.00     5.80    468.00     4.20    468.00     3.00  
  469.00     5.80    469.00     4.00    469.00     3.00  
  470.00     5.80    470.00     4.10    470.00     3.10  
  471.00     5.80    471.00     4.20    471.00     3.10  
  472.00     5.60    472.00     4.10    472.00     3.10  
  473.00     5.60    473.00     4.10    473.00     3.00  
  474.00     5.50    474.00     4.20    474.00     3.10  
  475.00     5.50    475.00     4.20    475.00     2.90  
  476.00     5.50    476.00     4.30    476.00     2.90  
  477.00     5.40    477.00     4.20    477.00     2.80  
  478.00     5.70    478.00     4.10    478.00     2.90  
  479.00     5.60    479.00     4.10    479.00     3.00  
  480.00     5.50    480.00     4.10    480.00     3.10  
  481.00     5.50    481.00     4.10    481.00     3.10  
  482.00     5.40    482.00     4.10    482.00     3.10  
  483.00     5.40    483.00     4.10    483.00     3.20  
  484.00     5.30    484.00     4.10    484.00     3.20  
  485.00     5.40    485.00     4.00    485.00     3.10  
  486.00     5.50    486.00     4.20    486.00     3.00  
  487.00     5.60    487.00     4.20    487.00     3.00  
  488.00     5.80    488.00     4.20    488.00     2.80  
  489.00     5.80    489.00     4.20    489.00     2.80  
  490.00     5.80    490.00     4.20    490.00     3.00  
  491.00     5.90    491.00     4.20    491.00     3.00  
  492.00     6.00    492.00     4.10    492.00     3.10  
  493.00     6.00    493.00     4.10    493.00     3.20  
  494.00     6.00    494.00     4.10    494.00     3.20  
  495.00     5.90    495.00     4.20    495.00     3.10  
  496.00     6.00    496.00     4.10    496.00     3.00  
  497.00     5.90    497.00     4.20    497.00     2.90  
  498.00     5.90    498.00     4.20    498.00     3.00  
  499.00     5.90    499.00     4.20    499.00     3.00  
  500.00     5.80    500.00     4.10    500.00     3.00  
  501.00     5.40    501.00     4.10    501.00     3.20  
  502.00     5.90    502.00     4.20    502.00     3.10  
  503.00     5.80    503.00     4.10    503.00     3.10  
  504.00     5.90    504.00     4.20    504.00     3.10  
  505.00     5.90    505.00     4.20    505.00     3.00  
  506.00     5.90    506.00     4.10    506.00     3.00  
  507.00     5.90    507.00     4.30    507.00     3.00  
  508.00     5.90    508.00     4.20    508.00     2.80  
  509.00     5.70    509.00     4.10    509.00     3.00  
  510.00     5.50    510.00     4.10    510.00     3.00  
  511.00     5.80    511.00     4.20    511.00     3.10  
  512.00     5.60    512.00     4.10    512.00     3.10  
  513.00     5.50    513.00     4.00    513.00     3.10  
  514.00     5.40    514.00     4.10    514.00     3.10  
  515.00     5.40    515.00     4.20    515.00     3.10  
  516.00     5.40    516.00     4.30    516.00     3.00  
  517.00     5.30    517.00     4.20    517.00     2.90  
  518.00     5.40    518.00     4.00    518.00     2.90  
  519.00     5.30    519.00     4.00    519.00     2.90  
  520.00     5.30    520.00     4.10    520.00     2.90  
  521.00     5.40    521.00     4.20    521.00     3.10  
  522.00     5.30    522.00     4.10    522.00     3.10  
  523.00     5.40    523.00     4.10    523.00     3.10  
  524.00     5.50    524.00     4.10    524.00     3.10  
  525.00     5.70    525.00     4.10    525.00     3.10  
  526.00     5.80    526.00     4.20    526.00     3.10  
  527.00     5.80    527.00     4.30    527.00     3.00  
  528.00     6.00    528.00     4.20    528.00     3.00  
  529.00     6.00    529.00     4.20    529.00     2.90  
