Date : 2022/09/13 (TUE)
Time : 10:30:26
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  217.00     5.60    217.00     4.00    217.00     3.00  
  218.00     5.60    218.00     3.90    218.00     3.00  
  219.00     5.60    219.00     4.10    219.00     3.10  
  220.00     5.60    220.00     4.00    220.00     3.10  
  221.00     5.60    221.00     4.00    221.00     3.00  
  222.00     5.60    222.00     3.80    222.00     3.00  
  223.00     5.60    223.00     3.90    223.00     3.00  
  224.00     5.60    224.00     3.80    224.00     3.00  
  225.00     5.60    225.00     3.90    225.00     3.00  
  226.00     5.60    226.00     3.90    226.00     3.00  
  227.00     5.60    227.00     3.90    227.00     3.00  
  228.00     5.60    228.00     3.90    228.00     3.00  
  229.00     5.60    229.00     3.90    229.00     3.00  
  230.00     5.60    230.00     3.90    230.00     3.00  
  231.00     5.60    231.00     3.90    231.00     3.00  
  232.00     5.60    232.00     3.90    232.00     3.00  
  233.00     5.60    233.00     3.90    233.00     3.00  
  234.00     5.60    234.00     3.90    234.00     3.00  
  235.00     5.60    235.00     3.90    235.00     3.00  
  236.00     5.60    236.00     3.90    236.00     3.00  
  237.00     5.60    237.00     3.90    237.00     3.00  
  238.00     5.60    238.00     3.90    238.00     3.00  
  239.00     5.60    239.00     3.90    239.00     3.00  
  240.00     5.60    240.00     3.80    240.00     3.00  
  241.00     5.60    241.00     3.80    241.00     3.10  
  242.00     5.60    242.00     3.90    242.00     3.00  
  243.00     5.60    243.00     3.80    243.00     3.00  
  244.00     5.60    244.00     3.90    244.00     3.00  
  245.00     5.60    245.00     3.90    245.00     3.00  
  246.00     5.60    246.00     3.90    246.00     3.00  
  247.00     5.60    247.00     3.90    247.00     3.00  
  248.00     5.60    248.00     3.90    248.00     3.00  
  249.00     5.60    249.00     3.90    249.00     3.00  
  250.00     5.60    250.00     3.90    250.00     3.00  
  251.00     5.60    251.00     3.90    251.00     3.10  
  252.00     5.60    252.00     3.90    252.00     3.00  
  253.00     5.60    253.00     3.90    253.00     3.00  
  254.00     5.60    254.00     3.90    254.00     3.00  
  255.00     5.60    255.00     3.90    255.00     3.00  
  256.00     5.60    256.00     3.90    256.00     3.00  
  257.00     5.50    257.00     3.80    257.00     3.00  
  258.00     5.60    258.00     3.80    258.00     3.00  
  259.00     5.60    259.00     3.80    259.00     3.00  
  260.00     5.60    260.00     3.90    260.00     3.00  
  261.00     5.60    261.00     3.90    261.00     3.00  
  262.00     5.50    262.00     3.80    262.00     3.00  
  263.00     5.50    263.00     3.90    263.00     3.00  
  264.00     5.60    264.00     3.90    264.00     3.00  
  265.00     5.60    265.00     3.90    265.00     3.00  
  266.00     5.50    266.00     3.90    266.00     3.00  
  267.00     5.60    267.00     3.90    267.00     3.00  
  268.00     5.50    268.00     3.90    268.00     3.00  
  269.00     5.60    269.00     3.90    269.00     3.00  
  270.00     5.50    270.00     3.90    270.00     3.00  
  271.00     5.50    271.00     3.90    271.00     3.00  
  272.00     5.60    272.00     3.90    272.00     3.00  
  273.00     5.60    273.00     3.90    273.00     2.90  
  274.00     5.50    274.00     3.90    274.00     3.00  
  275.00     5.60    275.00     3.90    275.00     3.00  
  276.00     5.60    276.00     3.80    276.00     3.00  
  277.00     5.60    277.00     3.90    277.00     3.00  
  278.00     5.60    278.00     3.90    278.00     3.00  
  279.00     5.60    279.00     3.90    279.00     3.00  
  280.00     5.60    280.00     3.90    280.00     3.10  
  281.00     5.50    281.00     3.90    281.00     3.00  
  282.00     5.60    282.00     3.90    282.00     3.00  
  283.00     5.60    283.00     3.90    283.00     3.00  
  284.00     5.60    284.00     3.90    284.00     3.00  
  285.00     5.60    285.00     3.90    285.00     3.00  
  286.00     5.60    286.00     3.90    286.00     3.00  
  287.00     5.50    287.00     3.90    287.00     3.00  
  288.00     5.60    288.00     3.90    288.00     3.00  
  289.00     5.50    289.00     3.90    289.00     3.00  
  290.00     5.60    290.00     3.90    290.00     3.00  
  291.00     5.50    291.00     3.90    291.00     3.00  
  292.00     5.50    292.00     3.90    292.00     3.00  
  293.00     5.50    293.00     3.90    293.00     3.00  
  294.00     5.50    294.00     3.90    294.00     3.00  
  295.00     5.50    295.00     3.90    295.00     3.00  
  296.00     5.50    296.00     3.90    296.00     3.00  
  297.00     5.50    297.00     3.90    297.00     3.00  
  298.00     5.50    298.00     3.90    298.00     3.00  
  299.00     5.50    299.00     3.90    299.00     3.00  
  300.00     5.50    300.00     3.90    300.00     3.00  
  301.00     5.50    301.00     3.90    301.00     3.00  
  302.00     5.50    302.00     3.80    302.00     3.00  
  303.00     5.50    303.00     3.90    303.00     3.10  
  304.00     5.50    304.00     3.90    304.00     3.00  
  305.00     5.50    305.00     3.90    305.00     3.10  
  306.00     5.50    306.00     3.90    306.00     3.00  
